TIMESTAMP,AGENTNAME,ORDERBOOK,INSTRUMENT_NAME,COUNTRY,SECTOR_LONGNAME,SUBSECTOR_LONGNAME,INDUSTRY_LONGNAME,HOLDING_RATIO,HOLDING,OB_HOLDING,INVESTS,LASTFIXEDPRICE,ESG,E,S,G,ESG_RATIO,E_RATIO,S_RATIO,G_RATIO
2019-04-05 11:11:59.208,Denise-02,FR0000073272,SAFRAN,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,AEROSPACE,0.000000,1820,0,0,12,58.22,59.33,60,55.33,0,0,0,0
2019-04-05 11:26:52.988,Denise-02,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,1.000000,1820,1820,140,13,62.39,67.33,62.5,57.33,62.39,67.33,62.5,57.33
2019-04-05 08:17:15.904,Denise-03,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.000000,1724,0,0,12,58.56,55,54.33,66.33,0,0,0,0
2019-04-05 08:23:04.110,Denise-03,FR0000130395,REMY COINTREAU,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.009280,1724,16,1,16,56.33,56.33,56.33,56.33,0.5227424,0.5227424,0.5227424,0.5227424
2019-04-05 08:26:45.636,Denise-03,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.990719,1724,1708,122,14,62.39,67.33,62.5,57.33,61.81095841,66.70511027,61.9199375,56.79792027
2019-04-05 08:22:57.028,Anna-00,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,0.000000,1624,0,0,14,65.11,66,61.67,67.67,0,0,0,0
2019-04-05 08:28:22.236,Anna-00,FR0000131104,BNP PARIBAS ACT.A,FR,FINANCIAL SERVICES,BANKS,DIVERSIFIED BANKS,1.000000,1624,1624,116,14,63.5,61,65.83,63.67,63.5,61,65.83,63.67
2019-04-05 07:58:40.222,Pauline-03,FR0000120404,ACCOR,FR,CONSUMER DISCRETIONARY,LEISURE,HOTELS & MOTELS,0.000000,1532,0,0,10,62.33,61.67,60.33,65,0,0,0,0
2019-04-05 08:15:57.696,Pauline-03,FR0000120628,AXA,FR,FINANCIAL SERVICES,INSURANCE,MULTI-LINE INSURANCE,0.027415,1532,42,3,14,65.5,60,66.83,69.67,1.7956825,1.6449,1.83214445,1.91000305
2019-04-05 08:15:56.756,Pauline-03,FR0000120693,PERNOD RICARD,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.258485,1532,396,36,11,64.22,64,63,65.67,16.5999067,16.54304,16.284555,16.97470995
2019-04-05 08:15:24.828,Pauline-03,FR0010040865,GECINA,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,OFFICE REIT,0.011749,1532,18,3,6,65.44,67.33,61.33,67.67,0.76885456,0.79106017,0.72056617,0.79505483
2019-04-05 08:15:56.004,Pauline-03,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,0.000000,1532,0,0,8,65.11,66,61.67,67.67,0,0,0,0
2019-04-05 08:15:57.226,Pauline-03,FR0000120172,CARREFOUR,FR,CONSUMER STAPLES,PERSONAL CARE DRUGS & GROCERY,DRUG & GROCERY CHAINS,0.023498,1532,36,4,9,63.83,62.67,64.17,64.67,1.49987734,1.47261966,1.50786666,1.51961566
